"","Quad","Year","trackID","basalArea_genet","logsize_t0","logsize_t1","survives_tplus1","size_tplus1"
"1","e1q1-1",70,"ANDGER_70_1",135.523761221339,4.90914698451314,4.00410189938827,1,54.8225661027744
"2","e1q1-1",71,"ANDGER_70_1",54.8225661027744,4.00410189938827,3.50101393309336,1,33.1490458394304
"4","e1q1-2",70,"ANDGER_70_1",173.945758874437,5.15874352000976,6.26492841640238,1,525.803945674052
"5","e1q1-2",71,"ANDGER_70_1",525.803945674052,6.26492841640238,1.7357274705658,1,5.67305328232205
"7","e1q1-2",70,"ANDGER_70_2",29.5542827053641,3.38622866415824,6.59481558106494,1,731.294009791226
"8","e1q1-2",71,"ANDGER_70_2",731.294009791226,6.59481558106494,4.83481557615209,1,125.815377711032
"10","e1q1-3",50,"ANDGER_50_1",3.25589914817,1.18046847351132,2.44746889932417,1,11.5590525359135
"12","e1q1-3",63,"ANDGER_63_1",37.2790375035542,3.61843117144639,3.28669295571338,1,26.7542397393872
"13","e1q1-3",65,"ANDGER_63_1",26.7542397393872,3.28669295571338,4.78472529522168,1,119.66848506353
"14","e1q1-3",66,"ANDGER_63_1",119.66848506353,4.78472529522168,5.16157933074378,1,174.439736206661
"15","e1q1-3",67,"ANDGER_63_1",174.439736206661,5.16157933074378,6.89847989225168,1,990.767496978964
"16","e1q1-3",69,"ANDGER_63_1",990.767496978964,6.89847989225168,3.24024010768338,1,25.5398533262185
"17","e1q1-3",70,"ANDGER_63_1",25.5398533262185,3.24024010768338,4.43338400836091,1,84.2159226402189
"18","e1q1-3",71,"ANDGER_63_1",84.2159226402189,4.43338400836091,6.32608387449498,1,558.963331551705
"20","e1q1-3",65,"ANDGER_65_1",0.718291033205997,-0.330880453334447,3.61147293299439,1,37.0205414528909
"21","e1q1-3",66,"ANDGER_65_1",37.0205414528909,3.61147293299439,4.24001395593731,1,69.4088204971435
"22","e1q1-3",67,"ANDGER_65_1",69.4088204971435,4.24001395593731,7.33799538409718,1,1537.62667125817
"23","e1q1-3",68,"ANDGER_65_1",1537.62667125817,7.33799538409718,7.49128287728389,1,1792.34998265008
"24","e1q1-3",69,"ANDGER_65_1",1792.34998265008,7.49128287728389,6.56727585563534,1,711.429165238295
"25","e1q1-3",70,"ANDGER_65_1",711.429165238295,6.56727585563534,5.70203364801286,1,299.475810498879
"26","e1q1-3",71,"ANDGER_65_1",299.475810498879,5.70203364801286,6.11334400913872,1,451.847172688848
"29","e1q1-3",69,"ANDGER_69_1",3.76500189997507,1.32574836589318,4.21760993186192,1,67.8710737896904
"30","e1q1-3",71,"ANDGER_69_1",67.8710737896904,4.21760993186192,5.16743017913689,1,175.463348236281
"36","e1q1a-1",65,"ANDGER_65_1",47.6935425249026,3.8647960118936,4.83904890711791,1,126.349124812428
"38","e1q1a-2",61,"ANDGER_61_1",8.25112233155603,2.11034923128257,4.81350892719548,1,123.16303028306
"39","e1q1a-2",63,"ANDGER_61_1",123.16303028306,4.81350892719548,5.12438492069986,1,168.07073302401
"40","e1q1a-2",64,"ANDGER_61_1",168.07073302401,5.12438492069986,5.6759719129792,1,291.771777561555
"41","e1q1a-2",65,"ANDGER_61_1",291.771777561555,5.6759719129792,5.44994632747854,1,232.745673525259
"42","e1q1a-2",66,"ANDGER_61_1",232.745673525259,5.44994632747854,6.32655850781173,1,559.228697142396
"43","e1q1a-2",67,"ANDGER_61_1",559.228697142396,6.32655850781173,5.33267215229737,1,206.990345544772
"44","e1q1a-2",68,"ANDGER_61_1",206.990345544772,5.33267215229737,7.26370255672989,1,1427.53228356266
"45","e1q1a-2",69,"ANDGER_61_1",1427.53228356266,7.26370255672989,7.2683078088177,1,1434.12159065638
"46","e1q1a-2",70,"ANDGER_61_1",1434.12159065638,7.2683078088177,6.00526131290843,1,405.556952156696
"47","e1q1a-2",71,"ANDGER_61_1",405.556952156696,6.00526131290843,7.33623139807576,1,1534.91671017335
"49","e1q1a-2",66,"ANDGER_66_1",11.8234218520655,2.47008246687249,3.01406671742112,1,20.3700710340295
"51","e1q1a-2",66,"ANDGER_66_2",22.23452206435,3.10164612898687,4.36628683826216,1,78.7506741467031
"52","e1q1a-2",67,"ANDGER_66_2",78.7506741467031,4.36628683826216,4.74821568707949,1,115.37822988255
