"coefficient","value"
"rec_pc_32",0.233856544536492
"rec_pc_33",2.61278178955251
"rec_pc_34",2.15570583511021
"rec_pc_35",0.291938597329924
"rec_pc_36",0.122898866360221
"rec_pc_37",0.12062003670922
"rec_pc_38",0.3160479814383
"rec_pc_39",0.149645562359396
"rec_pc_40",0.220848602980502
"rec_pc_41",0.406120680440858
"rec_pc_42",1.62969903398792
"rec_pc_43",0.385436786401216
"rec_pc_44",0.180613099733055
"rec_pc_45",0.266978774480433
"rec_pc_46",0.141231448083919
"rec_pc_47",0.267970294185371
"rec_pc_48",0.64415640555968
"rec_pc_49",0.377700419828128
"rec_pc_50",0.344775342387663
"rec_pc_51",0.312090109638061
"rec_pc_52",0.105804165724993
"rec_pc_53",0.110485789740566
"rec_pc_54",0.270022635290264
"rec_pc_55",0.0691755881013469
"rec_pc_56",0.336164254098304
"rec_pc_57",0.160058922101443
"rec_pc_58",0.355880126744015
"rec_pc_59",0.105831092852079
"rec_pc_60",0.391175334887345
"rec_pc_61",0.394302618874656
"rec_pc_62",0.113468889808449
"rec_pc_63",0.191405103903044
"rec_pc_64",0.298504422764879
"rec_pc_65",0.289048693265631
"rec_pc_66",0.170565722594088
"rec_pc_67",0.385954585901192
"rec_pc_68",0.18578636408917
"rec_pc_69",0.263223771729844
"rec_pc_70",0.204053115196811
"rec_pc_71",1.05853460772827
"rec_siz",2.32599307337462
"rec_sd",1.34835008706823
