"coefficient","value"
"logarea32",0.506914568322849
"logarea33",0.706679906040715
"logarea34",0.900842244089172
"logarea35",0.834983628873573
"logarea36",0.904667440673026
"logarea37",0.805267656941635
"logarea38",0.533799531655133
"logarea39",0.358107103416825
"logarea40",0.49175420360765
"logarea41",0.568974449465444
"logarea42",0.772100225324537
"logarea43",0.710937930951396
"logarea44",0.625575419932899
"logarea45",0.896367618973863
"logarea46",0.828004587407237
"logarea47",0.836523658471328
"logarea48",0.872943902077348
"logarea49",0.94264101823468
"logarea50",0.784746781311127
"logarea51",0.83214421928242
"logarea52",0.671184849009084
"logarea53",0.90743288055725
"logarea54",0.989375866779991
"logarea55",0.846260366562893
"logarea56",0.916749846012627
"logarea57",0.791384675531013
"logarea58",0.789938767549036
"logarea59",0.736822234479291
"logarea60",0.832531483278866
"logarea61",0.873463708817417
"logarea62",0.591817375709416
"logarea63",0.670119667186973
"logarea64",0.750935958427068
"logarea65",0.738843487293366
"logarea66",0.746460397422657
"logarea67",0.7133010553768
"logarea68",0.702647083540896
"logarea69",0.509401870114077
"logarea70",0.704774153862824
"logarea71",0.9672623584713
"year_32",-2.14483739717452
"year_33",-1.63064840628508
"year_34",-0.493489882857433
"year_35",-1.26864578719196
"year_36",-1.82029077402793
"year_37",-1.77576629983335
"year_38",-1.22001277139484
"year_39",-1.95072444402282
"year_40",-1.67909613682345
"year_41",-1.32396338871033
"year_42",-1.05359550336122
"year_43",-0.789213746054873
"year_44",-1.18707187743258
"year_45",-1.61717242565228
"year_46",-1.49898770444898
"year_47",-0.758021846846945
"year_48",-0.615457429026427
"year_49",-0.541061733126435
"year_50",-0.146601804722456
"year_51",-1.11457517333481
"year_52",-1.60566747566364
"year_53",-1.37291305287087
"year_54",-1.71835425287999
"year_55",-1.65171651196644
"year_56",-1.03550257094491
"year_57",-1.73963290223722
"year_58",-1.21442306899609
"year_59",-1.07560017443328
"year_60",-1.01172460490294
"year_61",-1.7893162241741
"year_62",-1.23129537045988
"year_63",-1.66377183811034
"year_64",-1.50349627187369
"year_65",-1.62043761233116
"year_66",-1.38491056890088
"year_67",-2.11211541206843
"year_68",-3.15056636873852
"year_69",-1.63536785594992
"year_70",-1.05751230898973
"year_71",-0.628107445423876
