"Site","Quad","Species","trackID","Year","basalArea_genet","recruit","survives_tplus1","age","size_tplus1","nearEdge","Suspect"
"KS","e1q1-1","Andropogon gerardii","ANDGER_70_1",70,135.523761221339,1,1,0,54.8225661027744,FALSE,FALSE
"KS","e1q1-1","Andropogon gerardii","ANDGER_70_1",71,54.8225661027744,0,1,1,33.1490458394304,FALSE,FALSE
"KS","e1q1-1","Andropogon gerardii","ANDGER_70_1",72,33.1490458394304,0,NA,2,NA,TRUE,FALSE
"KS","e1q1-2","Andropogon gerardii","ANDGER_70_1",70,173.945758874437,1,1,0,525.803945674052,TRUE,FALSE
"KS","e1q1-2","Andropogon gerardii","ANDGER_70_1",71,525.803945674052,0,1,1,5.67305328232205,TRUE,TRUE
"KS","e1q1-2","Andropogon gerardii","ANDGER_70_1",72,5.67305328232205,0,NA,2,NA,FALSE,FALSE
"KS","e1q1-2","Andropogon gerardii","ANDGER_70_2",70,29.5542827053641,1,1,0,731.294009791226,TRUE,FALSE
"KS","e1q1-2","Andropogon gerardii","ANDGER_70_2",71,731.294009791226,0,1,1,125.815377711032,TRUE,FALSE
"KS","e1q1-2","Andropogon gerardii","ANDGER_70_2",72,125.815377711032,0,NA,2,NA,TRUE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_50_1",50,3.25589914817,1,1,0,11.5590525359135,FALSE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_50_1",51,11.5590525359135,0,0,1,NA,FALSE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_63_1",63,37.2790375035542,1,1,0,26.7542397393872,TRUE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_63_1",65,26.7542397393872,0,1,1,119.66848506353,TRUE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_63_1",66,119.66848506353,0,1,2,174.439736206661,TRUE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_63_1",67,174.439736206661,0,1,3,990.767496978964,TRUE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_63_1",69,990.767496978964,0,1,4,25.5398533262185,TRUE,TRUE
"KS","e1q1-3","Andropogon gerardii","ANDGER_63_1",70,25.5398533262185,0,1,5,84.2159226402189,TRUE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_63_1",71,84.2159226402189,0,1,6,558.963331551705,FALSE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_63_1",72,558.963331551705,0,NA,7,NA,TRUE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_65_1",65,0.718291033205997,1,1,0,37.0205414528909,FALSE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_65_1",66,37.0205414528909,0,1,1,69.4088204971435,FALSE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_65_1",67,69.4088204971435,0,1,2,1537.62667125817,FALSE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_65_1",68,1537.62667125817,0,1,3,1792.34998265008,TRUE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_65_1",69,1792.34998265008,0,1,4,711.429165238295,TRUE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_65_1",70,711.429165238295,0,1,5,299.475810498879,TRUE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_65_1",71,299.475810498879,0,1,6,451.847172688848,FALSE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_65_1",72,451.847172688848,0,NA,7,NA,FALSE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_68_1",68,96.4783506192385,1,0,0,NA,TRUE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_69_1",69,3.76500189997507,1,1,0,67.8710737896904,TRUE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_69_1",71,67.8710737896904,0,1,1,175.463348236281,TRUE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_69_1",72,175.463348236281,0,NA,2,NA,TRUE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_72_1",72,63.7836459781751,1,NA,0,NA,FALSE,FALSE
"KS","e1q1-3","Andropogon gerardii","ANDGER_72_2",72,57.5181241359716,1,NA,0,NA,TRUE,FALSE
"KS","e1q1a-1","Andropogon gerardii","ANDGER_53_1",53,19.755638704751,1,0,0,NA,TRUE,FALSE
"KS","e1q1a-1","Andropogon gerardii","ANDGER_53_2",53,10.9102878887351,1,0,0,NA,TRUE,FALSE
"KS","e1q1a-1","Andropogon gerardii","ANDGER_65_1",65,47.6935425249026,1,1,0,126.349124812428,FALSE,FALSE
"KS","e1q1a-1","Andropogon gerardii","ANDGER_65_1",67,126.349124812428,0,0,1,NA,FALSE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_61_1",61,8.25112233155603,1,1,0,123.16303028306,FALSE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_61_1",63,123.16303028306,0,1,1,168.07073302401,FALSE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_61_1",64,168.07073302401,0,1,2,291.771777561555,FALSE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_61_1",65,291.771777561555,0,1,3,232.745673525259,FALSE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_61_1",66,232.745673525259,0,1,4,559.228697142396,FALSE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_61_1",67,559.228697142396,0,1,5,206.990345544772,FALSE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_61_1",68,206.990345544772,0,1,6,1427.53228356266,FALSE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_61_1",69,1427.53228356266,0,1,7,1434.12159065638,FALSE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_61_1",70,1434.12159065638,0,1,8,405.556952156696,FALSE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_61_1",71,405.556952156696,0,1,9,1534.91671017335,FALSE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_61_1",72,1534.91671017335,0,NA,10,NA,FALSE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_66_1",66,11.8234218520655,1,1,0,20.3700710340295,FALSE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_66_1",67,20.3700710340295,0,0,1,NA,FALSE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_66_2",66,22.23452206435,1,1,0,78.7506741467031,FALSE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_66_2",67,78.7506741467031,0,1,1,115.37822988255,FALSE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_66_2",68,115.37822988255,0,1,2,374.684281360847,FALSE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_66_2",70,374.684281360847,0,1,3,299.273078398877,FALSE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_66_2",71,299.273078398877,0,1,4,403.692302477326,FALSE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_66_2",72,403.692302477326,0,NA,5,NA,TRUE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_68_1",68,7.1146135619519,1,1,0,120.770203822095,FALSE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_68_1",70,120.770203822095,0,1,1,5.55009235184281,TRUE,TRUE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_68_1",71,5.55009235184281,0,NA,2,NA,TRUE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_69_1",69,40.8164465838425,1,0,0,NA,TRUE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_69_2",69,44.153149728172,1,0,0,NA,TRUE,FALSE
"KS","e1q1a-2","Andropogon gerardii","ANDGER_70_1",70,34.2583219873951,1,1,0,27.627529156116,FALSE,FALSE
