"coefficient","value"
"rec_pc_34",1.54388220819856
"rec_pc_35",0.740206225407771
"rec_pc_36",0.114220960731572
"rec_pc_37",0.0661964644023792
"rec_pc_38",0.126861882540337
"rec_pc_39",0.0534323748614677
"rec_pc_40",0.266589690540194
"rec_pc_41",0.107560661111011
"rec_pc_42",0.366020519116686
"rec_pc_43",0.202961171241558
"rec_pc_44",0.134193115756579
"rec_pc_45",0.169315250184704
"rec_pc_46",0.211755571488437
"rec_pc_47",0.755752764955605
"rec_pc_48",0.213382577935464
"rec_pc_49",0.441476376359141
"rec_pc_50",0.610412376613231
"rec_pc_51",0.0510518238195051
"rec_pc_52",0.327326254805131
"rec_pc_53",0.601157170038758
"rec_pc_54",0.235439930210185
"rec_pc_55",0.104059910188316
"rec_pc_56",0.246653701559958
"rec_pc_57",0.507120259753715
"rec_pc_58",0.284537659489258
"rec_pc_59",0.209658575546436
"rec_pc_60",0.402902591313559
"rec_pc_61",0.559328796264276
"rec_pc_62",0.162434939478838
"rec_pc_63",0.594091631171354
"rec_pc_64",0.88375969935915
"rec_pc_65",0.200118106974998
"rec_pc_66",0.160057122883365
"rec_pc_67",0.639966174388256
"rec_pc_68",0.464481777280095
"rec_pc_69",0.355520843980428
"rec_pc_70",0.348578860576687
"rec_pc_71",3.18699020854495
"rec_siz",2.24517874531619
"rec_sd",1.26859837961126
