"","Quad","Year","trackID","basalArea_genet","logsize_t0","logsize_t1","survives_tplus1","size_tplus1"
"1","e1q1-1",69,"BOUCUR_69_1",114.755497041078,4.74280375229068,NA,0,NA
"2","e1q1-1",70,"BOUCUR_70_1",88.861894465524,4.48708341694654,4.11201696105534,1,61.0697687784431
"4","e1q1-3",57,"BOUCUR_57_1",109.868185225269,4.69928133110363,NA,0,NA
"5","e1q1-3",58,"BOUCUR_58_1",119.726852414143,4.78521291835072,5.6270513785832,1,277.841658750701
"6","e1q1-3",59,"BOUCUR_58_1",277.841658750701,5.6270513785832,6.30687372991159,1,548.328044892325
"7","e1q1-3",60,"BOUCUR_58_1",548.328044892325,6.30687372991159,6.91845773064377,1,1010.75992775947
"8","e1q1-3",61,"BOUCUR_58_1",1010.75992775947,6.91845773064377,6.86219555572653,1,955.462537534565
"9","e1q1-3",62,"BOUCUR_58_1",955.462537534565,6.86219555572653,6.99660312803139,1,1092.91435571695
"10","e1q1-3",63,"BOUCUR_58_1",1092.91435571695,6.99660312803139,6.94308662672322,1,1035.96291590806
"11","e1q1-3",64,"BOUCUR_58_1",1035.96291590806,6.94308662672322,-0.330883860122313,1,0.718288586144989
"12","e1q1-3",65,"BOUCUR_58_1",0.718288586144989,-0.330883860122313,6.3675001027848,1,582.599567862123
"13","e1q1-3",66,"BOUCUR_58_1",582.599567862123,6.3675001027848,5.37501607654326,1,215.943343905218
"14","e1q1-3",67,"BOUCUR_58_1",215.943343905218,5.37501607654326,3.73409446474737,1,41.8501116480765
"15","e1q1-3",68,"BOUCUR_58_1",41.8501116480765,3.73409446474737,5.74049201437395,1,311.217496799944
"16","e1q1-3",69,"BOUCUR_58_1",311.217496799944,5.74049201437395,NA,0,NA
"17","e1q1-3",61,"BOUCUR_61_1",98.5669802797231,4.5907363199207,3.64522805508686,1,38.2915044282481
"18","e1q1-3",62,"BOUCUR_61_1",38.2915044282481,3.64522805508686,5.59477637767488,1,269.017485049889
"19","e1q1-3",63,"BOUCUR_61_1",269.017485049889,5.59477637767488,6.39575266826169,1,599.294223253814
"20","e1q1-3",64,"BOUCUR_61_1",599.294223253814,6.39575266826169,6.17771501817334,1,481.889588435059
"21","e1q1-3",65,"BOUCUR_61_1",481.889588435059,6.17771501817334,6.68378368453851,1,799.337839682951
"22","e1q1-3",66,"BOUCUR_61_1",799.337839682951,6.68378368453851,4.60057397533526,1,99.5414335759317
"23","e1q1-3",67,"BOUCUR_61_1",99.5414335759317,4.60057397533526,6.79849112126252,1,896.493570519897
"24","e1q1-3",68,"BOUCUR_61_1",896.493570519897,6.79849112126252,6.89842437700466,1,990.712495803339
"25","e1q1-3",69,"BOUCUR_61_1",990.712495803339,6.89842437700466,8.95699058388747,1,7761.96330102955
"26","e1q1-3",70,"BOUCUR_61_1",7761.96330102955,8.95699058388747,7.15973146810222,1,1286.56540266582
"27","e1q1-3",71,"BOUCUR_61_1",1286.56540266582,7.15973146810222,7.04460197507083,1,1146.65234875537
"29","e1q1-3",63,"BOUCUR_63_1",15.0829684991781,2.7135661932855,NA,0,NA
"30","e1q1-3",64,"BOUCUR_64_1",39.2338701258115,3.66954040755579,3.90341345826308,1,49.5713704425946
"31","e1q1-3",65,"BOUCUR_64_1",49.5713704425946,3.90341345826308,4.19603996805759,1,66.4227732329731
"32","e1q1-3",66,"BOUCUR_64_1",66.4227732329731,4.19603996805759,4.76652716719373,1,117.510438412752
"33","e1q1-3",67,"BOUCUR_64_1",117.510438412752,4.76652716719373,5.47378772381228,1,238.361331943551
"34","e1q1-3",68,"BOUCUR_64_1",238.361331943551,5.47378772381228,5.71429372291832,1,303.17000565002
"35","e1q1-3",69,"BOUCUR_64_1",303.17000565002,5.71429372291832,4.61271866802834,1,100.757704365118
"37","e1q1-3",64,"BOUCUR_64_2",45.8378354118896,3.82510985078304,NA,0,NA
"38","e1q1-3",64,"BOUCUR_64_3",56.8728765152111,4.04081854057782,6.1032535466648,1,447.310751533103
"39","e1q1-3",65,"BOUCUR_64_3",447.310751533103,6.1032535466648,6.09447342488899,1,443.400500025468
"40","e1q1-3",66,"BOUCUR_64_3",443.400500025468,6.09447342488899,5.13930560092065,1,170.597264598169
"41","e1q1-3",67,"BOUCUR_64_3",170.597264598169,5.13930560092065,4.04835363416438,1,57.303037578934
"42","e1q1-3",68,"BOUCUR_64_3",57.303037578934,4.04835363416438,6.09404933823459,1,443.212499657895
"43","e1q1-3",69,"BOUCUR_64_3",443.212499657895,6.09404933823459,NA,0,NA
"44","e1q1-3",66,"BOUCUR_66_1",1934.87578058915,7.56779840732527,5.98597809895019,1,397.811429964764
"45","e1q1-3",67,"BOUCUR_66_1",397.811429964764,5.98597809895019,5.78382770476205,1,325.000819791537
"46","e1q1-3",68,"BOUCUR_66_1",325.000819791537,5.78382770476205,3.76178145644957,1,43.0250049199936
"47","e1q1-3",69,"BOUCUR_66_1",43.0250049199936,3.76178145644957,NA,0,NA
"48","e1q1-3",68,"BOUCUR_68_1",69.0030058842716,4.23415006718856,NA,0,NA
"49","e1q1-3",69,"BOUCUR_69_1",190.147503350132,5.24780010439132,NA,0,NA
"50","e1q1-3",69,"BOUCUR_69_2",188.019996000193,5.2365483188771,NA,0,NA
"54","e1q2-1",66,"BOUCUR_66_1",31.7461655418744,3.45777194771071,4.84457774706401,1,127.049623589248
"55","e1q2-1",68,"BOUCUR_66_1",127.049623589248,4.84457774706401,4.23076268082155,1,68.7696614798073
"56","e1q2-1",70,"BOUCUR_66_1",68.7696614798073,4.23076268082155,1.03996361954887,1,2.8291140880325
"58","e1q2-1",70,"BOUCUR_70_1",13.845568371214,2.62796520823346,NA,0,NA
"59","e1q2-1",70,"BOUCUR_70_2",73.1643355099209,4.2927080824273,4.26665072815271,1,71.2824909224204
"61","e1q2-1",70,"BOUCUR_70_3",72.5751959841995,4.28462321034383,NA,0,NA
"62","e1q2-1",70,"BOUCUR_70_4",15.7001035569051,2.75366730831373,4.81076410475485,1,122.825433167708
"65","e1q2-2",65,"BOUCUR_65_1",45.5897415484056,3.81968272516795,NA,0,NA
"66","e1q2-2",69,"BOUCUR_69_1",61.4329347938075,4.11794608863677,4.59592272197441,1,99.0795162285411
"67","e1q2-2",71,"BOUCUR_69_1",99.0795162285411,4.59592272197441,4.50776231339603,1,90.7185914392881
"69","e1q2-2",69,"BOUCUR_69_2",35.4449730685291,3.56798143949654,2.60880440434275,1,13.582801601392
"70","e1q2-2",70,"BOUCUR_69_2",13.582801601392,2.60880440434275,NA,0,NA
"71","e1q2-2",69,"BOUCUR_69_3",207.413089422495,5.33471240577355,5.76464569203042,1,318.82606140764
"72","e1q2-2",70,"BOUCUR_69_3",318.82606140764,5.76464569203042,NA,0,NA
"73","e1q2-2",70,"BOUCUR_70_1",34.3659466733865,3.53706615179741,NA,0,NA
"74","e1q2-2",70,"BOUCUR_70_2",13.6962575497766,2.61712262396678,4.03201744312423,1,56.3745290058335
"76","e1q2-3",51,"BOUCUR_51_1",57.4733772968304,4.05132183705069,4.3436216942931,1,76.9858542773542
"77","e1q2-3",52,"BOUCUR_51_1",76.9858542773542,4.3436216942931,3.95932369384624,1,52.4218607307744
"78","e1q2-3",53,"BOUCUR_51_1",52.4218607307744,3.95932369384624,3.10351220457605,1,22.2760521002529
"79","e1q2-3",54,"BOUCUR_51_1",22.2760521002529,3.10351220457605,4.72862811284701,1,113.140240188781
"80","e1q2-3",55,"BOUCUR_51_1",113.140240188781,4.72862811284701,3.67445525339335,1,39.4271731873502
"81","e1q2-3",56,"BOUCUR_51_1",39.4271731873502,3.67445525339335,4.50615144483168,1,90.5725733516853
"82","e1q2-3",57,"BOUCUR_51_1",90.5725733516853,4.50615144483168,5.06891737631316,1,159.002094694573
"83","e1q2-3",59,"BOUCUR_51_1",159.002094694573,5.06891737631316,5.55432674041348,1,258.352967342543
"84","e1q2-3",60,"BOUCUR_51_1",258.352967342543,5.55432674041348,7.08289955130024,1,1191.41809286366
"85","e1q2-3",61,"BOUCUR_51_1",1191.41809286366,7.08289955130024,6.8988484066359,1,991.132676335808
"86","e1q2-3",62,"BOUCUR_51_1",991.132676335808,6.8988484066359,5.81855196987098,1,336.484461053348
"87","e1q2-3",63,"BOUCUR_51_1",336.484461053348,5.81855196987098,6.55930722006166,1,705.782573180649
"88","e1q2-3",64,"BOUCUR_51_1",705.782573180649,6.55930722006166,7.3404836732837,1,1541.4574951995
"89","e1q2-3",65,"BOUCUR_51_1",1541.4574951995,7.3404836732837,7.18420858677117,1,1318.44539015022
"90","e1q2-3",66,"BOUCUR_51_1",1318.44539015022,7.18420858677117,6.26639400672,1,526.575123823378
"91","e1q2-3",67,"BOUCUR_51_1",526.575123823378,6.26639400672,7.45292518958493,1,1724.90143652206
"92","e1q2-3",68,"BOUCUR_51_1",1724.90143652206,7.45292518958493,8.28632318610974,1,3969.21327330346
"93","e1q2-3",69,"BOUCUR_51_1",3969.21327330346,8.28632318610974,8.01243137287473,1,3018.24668192562
"94","e1q2-3",70,"BOUCUR_51_1",3018.24668192562,8.01243137287473,7.56759030778746,1,1934.4731757259
"95","e1q2-3",71,"BOUCUR_51_1",1934.4731757259,7.56759030778746,7.52783047580935,1,1859.06783259295
"97","e1q2-3",55,"BOUCUR_55_1",11.2616506294022,2.4214032042772,3.42007862394118,1,30.571818603427
"98","e1q2-3",56,"BOUCUR_55_1",30.571818603427,3.42007862394118,3.45203571760424,1,31.5645835273401
"99","e1q2-3",57,"BOUCUR_55_1",31.5645835273401,3.45203571760424,4.23838528649429,1,69.2958684778423
"100","e1q2-3",59,"BOUCUR_55_1",69.2958684778423,4.23838528649429,NA,0,NA
"101","e1q2-3",56,"BOUCUR_56_1",20.7858101091724,3.03427054760888,NA,0,NA
"102","e1q2-3",57,"BOUCUR_57_1",26.2728250962994,3.26853513869569,4.29284605747511,1,73.1744310590612
"103","e1q2-3",59,"BOUCUR_57_1",73.1744310590612,4.29284605747511,4.78741268845279,1,119.990513855455
"104","e1q2-3",60,"BOUCUR_57_1",119.990513855455,4.78741268845279,6.09079631253878,1,441.773060543384
